Group1,Subject3,1,1,T5,Room6,Lecture
Group1,Subject6,2,2,T1,Room1,Lecture
Group1,Subject6,2,3,T6,Room1,Practice
Group1,Subject6,3,2,T6,Room5,Practice
Group1,Subject2,4,1,T4,Room1,Lecture
Group1,Subject6,4,2,T1,Room1,Lecture
Group1,Subject6,4,3,T6,Room5,Practice
Group2,Subject6,2,1,T5,Room1,Lecture
Group2,Subject6,2,2,T5,Room5,Lecture
Group2,Subject6,4,2,T5,Room4,Lecture
Group3,Subject5,3,2,T4,Room4,Practice
Group3,Subject5,3,3,T3,Room1,Lecture
Group3-п/г1,Subject2,1,2,T6,Room5,Practice
Group3-п/г1,Subject2,2,3,T5,Room6,Practice
Group3-п/г1,Subject2,3,1,T5,Room2,Practice
Group3-п/г2,Subject2,1,2,T5,Room1,Practice
Group3-п/г2,Subject2,1,3,T6,Room6,Practice
Group3-п/г2,Subject2,4,1,T2,Room6,Practice
Group4,Subject1,1,1,T1,Room1,Lecture
Group4,Subject1,1,2,T1,Room6,Lecture
Group4,Subject1,2,1,T1,Room6,Lecture
Group4,Subject5,2,3,T2,Room4,Lecture
Group4,Subject1,3,1,T1,Room5,Lecture
Group4,Subject1,3,2,T1,Room1,Lecture
Group4,Subject1,3,3,T1,Room6,Lecture
Group4,Subject6,4,3,T1,Room6,Lecture
Group4-п/г1,Subject5,2,2,T4,Room6,Practice
Group4-п/г1,Subject3,4,2,T2,Room3,Practice
Group4-п/г2,Subject5,1,3,T4,Room4,Practice
Group4-п/г2,Subject3,4,1,T6,Room2,Practice
